Date,Game,Team,Opponent,Min,Pts,FG,FG%,2P,2P%,3P,3P%,FT,FT%,OREB,DREB,REB,AST,PF,TO,STL,BLK,PM,EFF
20230825,GroupA,ANG,ITA,200,67,23/65,35.40%,19/35,54.30%,4/30,13.30%,17/22,77.30%,15,26,41,13,28,15,8,2,-14,65
20230825,GroupA,ITA,ANG,200,81,25/60,41.70%,20/29,69%,5/31,16.10%,26/30,86.70%,11,30,41,22,18,11,5,6,14,100
20230825,GroupA,DOM,PHI,200,87,29/73,39.70%,23/45,51.10%,6/28,21.40%,23/34,67.60%,17,26,43,18,22,12,11,3,6,94
20230825,GroupA,PHI,DOM,200,81,27/56,48.20%,21/38,55.30%,6/18,33.30%,21/27,77.80%,3,32,35,16,28,19,7,5,-6,89
20230827,GroupA,ITA,DOM,200,82,29/67,43.30%,22/38,57.90%,7/29,24.10%,17/18,94.40%,9,27,36,14,23,7,5,3,-5,87
20230827,GroupA,DOM,ITA,200,87,29/66,43.90%,13/27,48.10%,16/39,41%,13/17,76.50%,10,27,37,22,21,13,4,2,5,97
20230827,GroupA,PHI,ANG,200,70,27/63,42.90%,23/41,56.10%,4/22,18.20%,12/15,80%,12,27,39,17,18,15,2,3,-10,75
20230827,GroupA,ANG,PHI,200,80,27/72,37.50%,18/41,43.90%,9/31,29%,17/23,73.90%,20,23,43,17,25,11,10,4,10,84
20230829,GroupA,ANG,DOM,200,67,25/72,34.70%,23/51,45.10%,2/21,9.50%,15/28,53.60%,21,21,42,18,26,9,8,5,-8,65
20230829,GroupA,DOM,ANG,200,75,22/54,40.70%,17/29,58.60%,5/25,20%,26/33,78.80%,10,30,40,14,24,16,5,4,8,79
20230829,GroupA,PHI,ITA,200,83,30/65,46.20%,20/36,55.60%,10/29,34.50%,13/18,72.20%,13,26,39,14,17,14,8,3,-7,88
20230829,GroupA,ITA,PHI,200,90,29/64,45.30%,12/23,52.20%,17/41,41.50%,15/17,88.20%,10,25,35,24,20,11,7,0,7,106
20230826,GroupB,SSD,PUR,225,96,34/67,50.70%,24/41,58.50%,10/26,38.50%,18/24,75%,10,28,38,23,23,21,10,4,-5,11
20230826,GroupB,PUR,SSD,225,101,35/82,42.70%,25/54,46.30%,10/28,35.70%,21/31,67.70%,23,27,50,22,16,20,13,3,5,111
20230826,GroupB,SRB,CHN,200,105,34/59,57.60%,21/31,67.70%,13/28,46.40%,24/28,85.70%,6,27,33,30,12,12,14,4,42,143
20230826,GroupB,CHN,SRB,200,63,24/63,38.10%,16/34,47.10%,8/29,27.60%,7/12,58.30%,11,22,33,17,20,21,8,1,-42,55
20230828,GroupB,CHN,SSD,200,69,24/52,46.20%,16/32,50%,8/20,40%,13/21,61.90%,6,22,28,16,23,11,3,5,-20,70
20230828,GroupB,SSD,CHN,200,89,29/60,48.30%,14/30,46.70%,15/30,50%,16/24,66.70%,10,24,34,17,20,5,4,3,20,98
20230828,GroupB,PUR,SRB,200,77,27/74,36.50%,12/36,33.30%,15/38,39.50%,8/9,88.90%,14,23,37,21,20,15,6,1,-17,77
20230828,GroupB,SRB,PUR,200,94,35/67,52.20%,27/42,64.30%,8/25,32%,16/21,76.20%,9,32,41,25,14,13,8,3,17,120
20230830,GroupB,SSD,SRB,200,83,30/65,46.20%,17/32,53.10%,13/33,39.40%,10/16,62.50%,8,17,25,22,22,13,7,2,-32,82
20230830,GroupB,SRB,SSD,200,115,42/68,61.80%,25/36,69.40%,17/32,53.10%,14/17,82.40%,9,29,38,34,16,9,7,4,32,156
20230830,GroupB,CHN,PUR,200,89,32/65,49.20%,22/37,59.50%,10/28,35.70%,15/22,68.20%,7,23,30,20,25,13,3,4,-18,87
20230830,GroupB,PUR,CHN,200,107,38/71,53.50%,22/37,59.50%,16/34,47.10%,15/24,62.50%,13,29,42,22,17,12,7,2,18,125
20230826,GroupC,JOR,GRE,200,71,23/56,41.10%,15/36,41.70%,8/20,40%,17/25,68%,11,20,31,17,20,14,5,1,-21,70
20230826,GroupC,GRE,JOR,200,92,35/68,51.50%,23/36,63.90%,12/32,37.50%,10/18,55.60%,17,24,41,24,20,11,9,5,21,114
20230826,GroupC,USA,NZL,200,99,35/59,59.30%,27/41,65.90%,8/18,44.40%,21/27,77.80%,5,36,41,23,17,19,10,7,27,127
20230826,GroupC,NZL,USA,200,72,27/74,36.50%,18/46,39.10%,9/28,32.10%,9/12,75%,11,22,33,13,23,19,7,0,-27,49
20230828,GroupC,NZL,JOR,225,95,33/70,47.10%,20/45,44.40%,13/25,52%,16/21,76.20%,10,27,37,22,25,15,9,1,8,100
20230828,GroupC,JOR,NZL,225,87,29/68,42.60%,23/44,52.30%,6/24,25%,23/31,74.20%,14,30,44,22,27,18,10,2,-8,98
20230828,GroupC,GRE,USA,200,81,33/69,47.80%,26/46,56.50%,7/23,30.40%,8/16,50%,7,18,25,17,23,12,5,2,-28,69
20230828,GroupC,USA,GRE,200,109,35/61,57.40%,26/39,66.70%,9/22,40.90%,30/34,88.20%,10,30,40,26,15,11,8,7,28,149
20230830,GroupC,USA,JOR,200,110,39/80,48.80%,29/51,56.90%,10/29,34.50%,22/28,78.60%,17,39,56,29,12,15,13,6,48,148
20230830,GroupC,JOR,USA,200,62,22/66,33.30%,17/45,37.80%,5/21,23.80%,13/17,76.50%,7,27,34,15,21,23,11,2,-48,53
20230830,GroupC,GRE,NZL,200,83,28/70,40%,17/38,44.70%,11/32,34.40%,16/20,80%,14,20,34,19,24,6,10,3,9,95
20230830,GroupC,NZL,GRE,200,74,22/51,43.10%,11/26,42.30%,11/25,44%,19/24,79.20%,13,29,42,17,24,21,3,3,-9,82
20230825,GroupD,MEX,MNE,200,71,25/56,44.60%,19/37,51.40%,6/19,31.60%,15/19,78.90%,6,22,28,20,19,16,5,0,-20,72
20230825,GroupD,MNE,MEX,200,91,33/64,51.60%,19/33,57.60%,14/31,45.20%,11/15,73.30%,9,26,35,20,18,11,8,2,20,106
